REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I00742,,,
,,,I00743,,,
,,,I00744,,,
,,,I00745,,,
,,,I00746,,,
,,,I00747,,,
,,,I00748,,,
,,,I00749,,,
,,,I00750,,,
,,,I00751,,,
,,,I00752,,,
,,,I00753,,,
,,,I00754,,,
,,,I00755,,,
,,,I00756,,,
,,,I00757,,,
,,,I00758,,,
,,,I00759,,,
,,,I00760,,,
,,,I00761,,,
,,,I00762,,,
,,,I00763,,,
,,,I00764,,,
,,,I00765,,,
,,,I00766,,,
,,,I00767,,,
,,,I00768,,,
,,,I00769,,,
,,,I00770,,,
,,,I00771,,,
,,,I00772,,,
,,,I00773,,,
,,,I00774,,,
,,,I00775,,,
,,,I00776,,,
,,,I00777,,,
,,,I00778,,,
,,,I00779,,,
,,,I00780,,,
,,,I00781,,,
,,,I00782,,,
,,,I00783,,,
,,,I00784,,,
,,,I00785,,,
,,,I00786,,,
,,,I00787,,,
,,,I00788,,,
,,,I00789,,,
,,,I00790,,,
,,,I00791,,,
,,,I00792,,,
,,,I00793,,,
,,,I00794,,,
,,,I00795,,,
,,,I00796,,,
,,,I00797,,,
,,,I00798,,,
,,,I00799,,,
,,,I00800,,,
,,,I00801,,,
,,,I00802,,,
,,,I00803,,,
,,,I00804,,,
,,,I00805,,,
,,,I00806,,,
,,,I00807,,,
,,,I00808,,,
,,,I00809,,,
,,,I00810,,,
,,,I00811,,,
,,,I00812,,,
,,,I00813,,,
,,,I00814,,,
,,,I00815,,,
,,,I00816,,,
,,,I00817,,,
,,,I00818,,,
,,,I00819,,,
,,,I00820,,,
,,,I00821,,,
,,,I00822,,,
,,,I00823,,,
,,,I00824,,,
,,,I00825,,,
,,,I00826,,,
,,,I00827,,,
,,,I00828,,,
,,,I00829,,,
,,,I00830,,,
,,,I00831,,,
,,,I00832,,,
,,,I00833,,,
,,,I00834,,,
,,,I00835,,,
,,,I00836,,,
,,,I00837,,,
,,,I00838,,,
,,,I00839,,,
,,,I00840,,,
,,,I00841,,,
,,,I00842,,,
,,,I00843,,,
,,,I00844,,,
,,,I00845,,,
,,,I00846,,,
,,,I00847,,,
,,,I00848,,,
,,,I00849,,,
,,,I00850,,,
,,,I00851,,,
,,,I00852,,,
,,,I00853,,,
,,,I00854,,,
,,,I00855,,,
,,,I00856,,,
,,,I00857,,,
,,,I00858,,,
,,,I00859,,,
,,,I00860,,,
,,,I00861,,,
,,,I00862,,,
,,,I00863,,,
,,,I00864,,,
,,,I00865,,,
,,,I00866,,,
,,,I00867,,,
,,,I00868,,,
,,,I00869,,,
,,,I00870,,,
,,,I00871,,,
,,,I00872,,,
,,,I00873,,,
,,,I00874,,,
,,,I00875,,,
,,,I00876,,,
,,,I00877,,,
,,,I00878,,,
,,,I00879,,,
,,,I00880,,,
,,,I00881,,,
,,,I00882,,,
,,,I00883,,,
,,,I00884,,,
,,,I00885,,,
,,,I00886,,,
,,,I00887,,,
,,,I00888,,,
,,,I00889,,,
,,,I00890,,,
,,,I00891,,,
,,,I00892,,,
,,,I00893,,,
,,,I00894,,,
,,,I00895,,,
,,,I00896,,,
,,,I00897,,,
,,,I00898,,,
,,,I00899,,,
,,,I00900,,,
,,,I00901,,,
,,,I00902,,,
,,,I00903,,,
,,,I00904,,,
,,,I00905,,,
,,,I00906,,,
,,,I00907,,,
,,,I00908,,,
,,,I00909,,,
,,,I00910,,,
,,,I00911,,,
,,,I00912,,,
,,,I00913,,,
,,,I00914,,,
,,,I00915,,,
,,,I00916,,,
,,,I00917,,,
,,,I00918,,,
,,,I00919,,,
,,,I00920,,,
,,,I00921,,,
